,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,part_6,part_5,part_4Neo,part_4Nei
236,3.42E+12,378,2,17,7.9,13,0.04,0,a,b,b,a,c
237,3.42E+12,415,6.1,12,8.6,10,0.16,0,c,c,c,b,d
238,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
239,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
240,3.42E+12,577,24.1,44.5,2.5,5.9,0.36,0,e,e,e,e,d
241,3.42E+12,576,27.4,26.8,10.1,7.9,0.04,0,d,d,d,d,c
242,3.42E+12,550,25.2,20.8,11.8,9,0.02,0,d,d,d,c,c
243,3.42E+12,569,22.9,45.2,2.3,6.2,0.41,0,e,e,e,e,e
244,3.42E+12,588,24.2,22.3,11.5,9.4,0.03,13.2,d,d,d,c,c
245,3.42E+12,504,15,25,3.9,8.5,0.15,0,d,d,d,d,d
246,3.42E+12,491,16,18,6.2,8.4,0.05,0,d,d,c,c,c
247,3.42E+12,471,13.7,15.6,5.7,7.5,0.03,0,d,d,c,c,c
248,3.42E+12,504,15,25,3,8.5,0.15,0,d,d,d,d,d
249,3.42E+12,483,15,18,6.9,8.5,0.05,0,d,d,d,c,c
250,3.42E+12,495,17,17,7.1,7.9,0.06,0,d,d,c,c,c
251,3.42E+12,512,16,27,2.8,7.8,0.17,0,e,e,d,e,d
252,3.42E+12,365,0.7,23,2.7,5.7,0.02,0,c,b,b,b,c
253,3.42E+12,364,1.2,20,3.9,6.5,0.02,0,b,b,b,a,c
254,3.42E+12,442,3.2,18,8,9.7,0.04,0,c,c,b,a,c
255,3.42E+12,425,2.6,18,7.6,9,0.01,0,b,b,b,a,c
256,3.42E+12,375,2,17,7.9,13,0.04,0,a,b,b,a,c
257,3.42E+12,419,2.200000048,14,9.800000191,15,0.02,0,b,b,b,a,c
258,3.42E+12,389,9.3,20,5.5,8.2,0.26,0,d,d,c,c,d
259,3.43E+12,366,19.1,15.5,3.3,8.8,0.3,0,d,d,b,d,d
260,3.43E+12,217,4,26,0.9,5.8,0.13,0,c,c,b,d,c
261,3.42E+12,456,4,22,6.8,8.7,0.05,4.1,c,c,c,a,c
262,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
263,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
264,3.43E+12,206,5.93,21.08,2.31,4.42,0.09,0,c,c,b,c,a
265,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
266,3.45E+12,357,1.1,24,6.2,8.6,0.43,0,c,c,c,b,e
267,3.46E+12,477,14,23,5.3,6.8,0.01,0,d,d,c,d,c
268,3.45E+12,357,1.1,24,6.2,8.6,0.43,0,c,c,c,b,e
269,3.47E+12,423,11.8,15,11.5,10,0,0,d,d,c,c,c
270,3.47E+12,487,0,0,8.2,12.11,0,16.667,a,a,a,a,c
271,3.47E+12,140,3.7,14.7,0,5.6,0.11,0,c,c,a,c,c
272,3.47E+12,559,26,32,0,6.8,0,0,e,d,e,e,c
273,3.50E+12,624,10,30,5,9.3,0.02,0,d,d,d,c,c
274,3.50E+12,617,31,26,12,6.4,0.06,0,d,d,d,d,c
275,3.50E+12,588,24,46,2.8,7.5,0.15,0,e,e,e,e,d
276,3.50E+12,564,27,26,14,8,0.2,0,d,d,d,d,d
277,3.50E+12,606,9.9,41,2.7,6.8,0.07,0,e,e,d,e,c
278,3.50E+12,616,9.3,30,6,9.5,0,0,d,d,d,c,c
279,3.50E+12,616,9.3,30,6,9.5,0.06,0,d,d,d,c,c
280,3.50E+12,559,25,26,0,8.4,0.04,0,e,e,d,e,c
281,3.50E+12,590,26,47,2.5,7,0.2,0,e,e,e,e,d
282,3.50E+12,492,19,33,5.9,11,0.07,0,d,d,e,d,c
283,3.50E+12,476,8.4,27,8.6,11,0.07,0,d,d,d,c,c
284,3.52E+12,121,1.6,13,2,2.1,0.1,0,b,b,a,b,c
285,3.52E+12,160,3.8,20,1,4.1,0.1,0,c,c,b,c,c
286,3.52E+12,123,2,13,2,1.1,0.1,4,b,b,a,b,c
287,3.52E+12,124,1.6,14,2.2,1.3,0.1,0,c,b,a,c,c
288,3.52E+12,154,5.8,13,1,6.2,0.1,0,c,c,a,c,c
289,3.53E+12,232,0,62,2.3,0,0,0,c,c,a,d,a
290,3.53E+12,263,1.8,50,2.4,1.5,0,0,d,c,a,d,a
291,3.53E+12,62,0.6,9.7,0.6,3.2,0.1,0,b,b,a,b,c
292,3.56E+12,380,1,24,10,9.7,0.43,0,b,c,c,b,e
293,3.56E+12,478,13.8,22.8,5.8,6.7,0.3,0,d,d,d,d,d
294,3.56E+12,439,11,53,4.6,3.9,0.08,60,e,e,c,e,a
295,3.56E+12,450,5.9,36,2.5,6.9,0.8,0,d,d,c,e,e
296,3.56E+12,152,3.2,20,1,4.2,0.1,0,c,c,b,c,c
297,3.56E+12,496,17.1,21.6,6.7,6.3,0.05,0,d,d,c,d,c
298,3.56E+12,484,13,24,2.7,7.2,0.1,0,e,e,c,e,d
299,3.56E+12,476,13.7,22.1,8.4,6.6,0.1,0,d,d,c,d,d
300,3.56E+12,392,1.4,29,6.6,9.6,0.24,0,c,c,d,b,d
301,3.56E+12,385,1.1,28,6.3,8.2,0.48,0,c,c,c,b,e
302,3.56E+12,398,1.4,30,6.5,7.5,0.375,0,c,c,c,b,e
303,3.56E+12,392,1.4,29,6.6,9.6,0.24,0,c,c,d,b,d
304,3.56E+12,534,16,35,2.6,6.7,0.4,0,e,e,e,e,e
305,3.56E+12,449,9.600000381,22,3.1,6.400000095,0.600000024,0,d,d,c,e,e
