,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
289,3525830000848.0,232.0,0.0,62.0,2.3,0.0,0.0,0.0,c,c
290,3525830000886.0,263.0,1.8,50.0,2.4,1.5,0.0,0.0,d,c
291,3533630097159.0,62.0,0.6,9.7,0.6,3.2,0.1,0.0,b,b
292,3560070330867.0,380.0,1.0,24.0,10.0,9.7,0.43,0.0,b,c
293,3560070371037.0,478.0,13.8,22.8,5.8,6.7,0.3,0.0,d,d
294,3560070475964.0,439.0,11.0,53.0,4.6,3.9,0.08,60.0,e,e
295,3560070478606.0,450.0,5.9,36.0,2.5,6.9,0.8,0.0,d,d
296,3560070541362.0,152.0,3.2,20.0,1.0,4.2,0.1,0.0,c,c
297,3560070579006.0,496.0,17.1,21.6,6.7,6.3,0.05,0.0,d,d
298,3560070725588.0,484.0,13.0,24.0,2.7,7.2,0.1,0.0,e,e
299,3560070725618.0,476.0,13.7,22.1,8.4,6.6,0.1,0.0,d,d
300,3560070800230.0,392.0,1.4,29.0,6.6,9.6,0.24,0.0,c,c
301,3560070800261.0,385.0,1.1,28.0,6.3,8.2,0.48,0.0,c,c
302,3560070800292.0,398.0,1.4,30.0,6.5,7.5,0.375,0.0,c,c
303,3560070800568.0,392.0,1.4,29.0,6.6,9.6,0.24,0.0,c,c
304,3560070894550.0,534.0,16.0,35.0,2.6,6.7,0.4,0.0,e,e
305,3560070967698.0,449.0,9.600000381,22.0,3.1,6.400000095,0.6000000238,0.0,d,d
306,3560071007287.0,389.0,1.6,25.0,7.5,9.9,0.22,0.0,b,b
307,3560071015350.0,497.0,14.0,27.0,3.5,7.8,0.1,0.0,d,d
308,3560071090821.0,385.0,1.1,28.0,6.3,8.2,0.48,0.0,c,c
309,3560071094157.0,128.0,2.6,16.0,1.2,3.8,0.1,0.0,c,b
310,3560071182663.0,156.0,4.5,13.0,1.9,5.4,0.1,0.0,c,c
311,3560071182687.0,364.0,14.0,23.0,2.9,6.4,0.11,0.0,d,d
312,3560071267032.0,379.0,1.6,25.0,7.6,9.3,0.22,0.0,b,b
313,3560071281489.0,539.0,18.0,37.0,5.6,9.2,0.07,16.7,e,e
