code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.256227751783E12,Crème dessert au chocolat au lait de brebis,200,"U, U Bio",156.0,4.5,13.0,1.9,5.4,0.1,0.0,c,3.0
3.256227763373E12,Mousse au Chocolat Noir,140,"super u, U Bio, U",320.0,13.0,21.0,3.0,6.9,0.16,0.0,d,14.0
3.25622868651E12,Boules Enrobés Chocolat,375.0,"U,U Bio",374.0,0.8,18.0,3.0,6.9,0.01,0.0,b,0.0
3.256228686534E12,Céréales pétales de blé au chocolat,375.0,"U,U Bio",394.0,2.1,19.0,11.0,9.2,0.01,0.0,b,0.0
3.257984018461E12,Galettes de riz chocolat noir,100,Nature Bio,483.0,14.0,22.0,6.3,6.8,0.02,0.0,d,15.0
3.257984550572E12,Pétales chocolat,375,Cora,393.0,1.5,29.0,6.9,9.3,0.26,0.0,c,7.0
3.257985566817E12,Riz soufflé chocolat,375,Cora,390.0,1.2,31.0,3.9,7.4,0.34,0.0,c,8.0
3.25826003412E12,Super mini lait amande chocolat & super aliments,200.0,Biodyne,49.0,0.27,3.52,0.9,1.7,0.005,0.0,a,-1.0
3.25856104024E12,Céréales soufflées,375,Belle France,391.0,1.2,28.5,3.5,6.6,0.42,0.0,c,9.0
3.258561260242E12,Galettes de riz chocolat noir,200,U,493.0,14.2,27.2,4.9,7.2,0.5,0.0,e,19.0
3.258590000871E12,Pâte à tartiner - NOISETTE CHOCOLAT 100% vegetal,350,Dardenne,535.0,6.0,35.6,8.2,11.6,0.0,0.0,d,13.0
3.259011209743E12,Croquant sésame chocolat orange,200,VALPI BIO,531.0,8.3,31.0,4.7,11.0,0.0,0.0,d,16.0
3.263850576096E12,Brownie aux éclats de noisettes,285,Franprix,501.0,18.0,31.0,5.0,7.7,0.33,0.0,d,18.0
3.263851322418E12,Riz soufflé goût chocolat,750,sans,383.0,1.0,29.0,2.9,6.8,0.79,0.0,c,10.0
3.263851325211E12,Wheat choco,400,Leaderprice,390.0,1.7,30.0,6.2,9.0,0.2,0.0,c,6.0
3.26385132531E12,Céréales croustillantes au chocolat,400,Leader Price,394.0,1.4,30.0,6.5,7.5,0.37,0.0,c,7.0
3.263852557413E12,Galette de riz chocolat noir,100,Leader Price,479.0,14.0,21.6,6.3,6.8,0.0,0.0,d,14.0
